audio	sentence	duration
3526-175658-0000.flac	PERMISSION TO ACCEPT SUCH ADDITIONAL EMPLOYMENT SHOULD IT OFFER HAVING FORMED AN ARTICLE OF THE TERMS ON WHICH HE HAD ENGAGED ME IT WAS THEREFORE ARRANGED IN THE COURSE OF NEXT DAY	10.995
3526-175658-0001.flac	WHEN EVENING CAME I PREPARED TO STEP OVER IN ORDER TO SEEK A CONFERENCE WITH MADEMOISELLE HERSELF ON THE SUBJECT I HAD NOT HAD TIME TO PAY THE VISIT BEFORE HAVING BEEN ALL DAY CLOSELY OCCUPIED IN CLASS	13.505
3526-175658-0002.flac	I REMEMBER VERY WELL THAT BEFORE QUITTING MY CHAMBER I HELD A BRIEF DEBATE WITH MYSELF AS TO WHETHER I SHOULD CHANGE MY ORDINARY ATTIRE FOR SOMETHING SMARTER AT LAST I CONCLUDED IT WOULD BE A WASTE OF LABOUR DOUBTLESS THOUGHT I	15.685
3526-175658-0003.flac	SHE IS SOME STIFF OLD MAID FOR THOUGH THE DAUGHTER OF MADAME REUTER SHE MAY WELL NUMBER UPWARDS OF FORTY WINTERS BESIDES IF IT WERE OTHERWISE IF SHE BE BOTH YOUNG AND PRETTY I AM NOT HANDSOME	15.145
3526-175658-0004.flac	AND NO DRESSING CAN MAKE ME SO THEREFORE I'LL GO AS I AM AND OFF I STARTED CURSORILY GLANCING SIDEWAYS AS I PASSED THE TOILET TABLE SURMOUNTED BY A LOOKING GLASS A THIN IRREGULAR FACE I SAW	15.49
3526-175658-0005.flac	WITH SUNK DARK EYES UNDER A LARGE SQUARE FOREHEAD COMPLEXION DESTITUTE OF BLOOM OR ATTRACTION SOMETHING YOUNG BUT NOT YOUTHFUL NO OBJECT TO WIN A LADY'S LOVE NO BUTT FOR THE SHAFTS OF CUPID	14.605
3526-175658-0006.flac	IN A MOMENT I HAD PULLED THE BELL IN ANOTHER MOMENT THE DOOR WAS OPENED AND WITHIN APPEARED A PASSAGE PAVED ALTERNATELY WITH BLACK AND WHITE MARBLE THE WALLS WERE PAINTED IN IMITATION OF MARBLE ALSO AND AT THE FAR END OPENED A GLASS DOOR	15.71
3526-175658-0007.flac	THROUGH WHICH I SAW SHRUBS AND A GRASS PLAT LOOKING PLEASANT IN THE SUNSHINE OF THE MILD SPRING EVENING FOR IT WAS NOW THE MIDDLE OF APRIL THIS THEN WAS MY FIRST GLIMPSE OF THE GARDEN BUT I HAD NOT TIME TO LOOK LONG	15.25
3526-175658-0008.flac	THE PORTRESS AFTER HAVING ANSWERED IN THE AFFIRMATIVE MY QUESTION AS TO WHETHER HER MISTRESS WAS AT HOME OPENED THE FOLDING DOORS OF A ROOM TO THE LEFT AND HAVING USHERED ME IN CLOSED THEM BEHIND ME I FOUND MYSELF IN A SALON	14.95
3526-175658-0009.flac	WITH A VERY WELL PAINTED HIGHLY VARNISHED FLOOR CHAIRS AND SOFAS COVERED WITH WHITE DRAPERIES A GREEN PORCELAIN STOVE WALLS HUNG WITH PICTURES IN GILT FRAMES A GILT PENDULE AND OTHER ORNAMENTS ON THE MANTELPIECE	15.6
3526-175658-0010.flac	A LARGE LUSTRE PENDENT FROM THE CENTRE OF THE CEILING MIRRORS CONSOLES MUSLIN CURTAINS AND A HANDSOME CENTRE TABLE COMPLETED THE INVENTORY OF FURNITURE ALL LOOKED EXTREMELY CLEAN AND GLITTERING	13.79
3607-135982-0000.flac	THE CARS CAME SCUDDING IN TOWARDS DUBLIN RUNNING EVENLY LIKE PELLETS IN THE GROOVE OF THE NAAS ROAD	6.76
